Language,original,english
STR_VPPAT_NAME,Vanilla++ AdminTools,Vanilla++ AdminTools
VSTR_SESSION_DISCONNECT,Session Disconnect,Oturum Bağlantısını Kes
VSTR_ERROR_UPDATE_BUILDINGSET,Something went wrong! Unable to update set,Bir şeyler yanlış gitti! Yapı seti güncellenemiyor
VSTR_ERROR_DELETE_BUILDINGSET,Something went wrong! Unable to delete set!,Bir şeyler yanlış gitti! Yapı seti silinemiyor!
VSTR_MISSING_PERM,"You may not have the permission to use that command on some, or all of your targets.",Bu komutu hedeflerinizin bazılarında veya tamamında kullanma izniniz olmayabilir.
VSTR_UPDATED_PERM_SETTING,Settings updated for group,Grup için ayarlar güncellendi
VSTR_PERMS_REMOVE_USER,Removing User:,Kullanıcıyı Kaldırma:
VSTR_FROM_GROUP,from group:,from group:
VSTR_ERROR_USER_SUPERADMIN,Error: User is a Super Admin,Hata: Kullanıcı bir Süper Yöneticidir
VSTR_ERROR_INVALID_GROUP,Error: Invalid UserGroup ,Hata: Geçersiz KullanıcıGrubu
VSTR_PERMS_USER_INGTROUP,is already inside of group: ,zaten grubun içinde:
VSTR_ERROR_UNKOWN_PERM,permission is unknown/unregistered!,izin bilinmiyor/kayıtsız!
VSTR_ERROR_NAME_MISMATCH,Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to: ,Adınız kullanıcı grubu adıyla eşleşmiyor!name!\nAraçlara erişemezsiniz\nchange şu şekilde değiştirin:
VSTR_ERROR_NOT_ADMIN,You are not an admin or belong to a usergroup.,Yönetici değilsiniz veya bir kullanıcı grubuna ait değilsiniz.
VSTR_ERROR_CANT_TARGET,You cannot target Super Admins with: ,Süper Yöneticileri şunlarla hedefleyemezsiniz:
VSTR_ERROR_NO_PERM,You don't have the following permission: ,Aşağıdaki izne sahip değilsiniz:
VSTR_PERM_LVL_LOW,Permission level too low to exectue: ,İzin düzeyi yürütülemeyecek kadar düşük:
VSTR_BANNED,is now banned!,şimdi yasaklandı!
VSTR_BAN_REASON,Banned By Server Admin ,Sunucu Yöneticisi Tarafından Yasaklandı
VSTR_ERROR_BAN_PLAYER,Unable to ban player ,Oyuncu yasaklanamıyor
VSTR_KICK_PLAYER,Kicking player: ,Oyuncu Tekmele: 
VSTR_NOTIFY_SPECTATE,Press (PAGE-UP) to exit spectate!,Seyirciden çıkmak için (PAGE-UP) tuşuna basın!
VSTR_NOTIFY_GODMODE_OFF,GodMode Toggled OFF!,Tanrı Modu Kapatıldı!
VSTR_NOTIFY_GODMODE_ON,GodMode Toggled ON!,Tanrı Modu Açıldı!
VSTR_NOTIFY_REVOKE_GODMODE,Admin Revoked your godmode,"Admin, tanrı modunu iptal etti"
VSTR_NOTIFY_REVOKE_GODMODE_ADMIN,You Revoked selected players godmode!,Seçilen oyuncuların tanrı modunu iptal ettin!
VSTR_NOTIFY_GIVE_GODMODE,Admin Gave you GodMode,Yönetici size tanrı modu verdi
VSTR_NOTIFY_GIVE_GODMODE_ADMIN,You Gave selected player godmode!,Seçilen oyuncuya tanrı modunu verdin!
VSTR_NOTIFY_REVOKE_AMMO,Admin Revoked your unlimited ammo,Yönetici sınırsız cephanenizi iptal etti
VSTR_NOTIFY_REVOKE_AMMO_ADMIN,You Revoked selected players unlimited ammo!,Seçili oyuncuların sınırsız cephanesini iptal ettiniz!
VSTR_NOTIFY_GIVE_AMMO,Admin Gave you Unlimited Ammo!,Yönetici Size Sınırsız Cephane Verdi!
VSTR_NOTIFY_GIVE_AMMO_ADMIN,You Gave selected player Unlimited Ammo!,Seçtiğiniz oyuncuya Sınırsız Cephane verdiniz!
VSTR_NOTIFY_RESTART_ERROR,There is already a request for a restart in progres…,Halihazırda devam eden bir yeniden başlatma talebi var…
VSTR_NOTIFY_RESTART_IN,Server Restart in: ,Sunucu Yeniden Başlatma:
VSTR_NOTIFY_TP_BRINGSELF_ERR,You cannot bring yourself.,Kendini getiremezsin.
VSTR_NOTIFY_ERR_TP_NORETURN,No return position available.,Geri dönüş pozisyonu mevcut değil.
VSTR_NOTIFY_ERR_TPSELF,You cannot teleport to yourself,Kendine ışınlanamazsın
VSTR_TP_ERR_INVALID,Invalid Position,Geçersiz Pozisyon
VSTR_DEL_SUCESS,Sucessfully deleted ,Başarılı bir şekilde silindi!
VSTR_ADD_SUCESS,Sucessfully added ,Başarılı bir şekilde Eklendi!
VSTR_EDIT_SUCESS,Sucessfully edited ,Başarılı bir şekilde düzenlendi!
VSTR_NOT_DEFINED,NOT DEFINED,TANIMLI DEĞİL
VSTR_NOTIFY_TOOLS_TOGGLE_ON,Admin Tools & keybinds toggled [ON]!,Yönetici Araçları ve tuş bağlantıları [AÇIK] olarak değiştirildi!
VSTR_NOTIFY_TOOLS_TOGGLE_OFF,Admin Tools & keybinds toggled [OFF]!,Yönetici Araçları ve tuş bağlantıları [KAPALI] olarak değiştirildi!
VSTR_NOTIFY_ERR_NOTTOGGLE,"[VPPAT] Can't preform that action, tools are toggled OFF! [End] default key to toggle","[VPPAT] Bu eylemi gerçekleştiremiyor, araçlar KAPALI duruma getirildi! [END] geçiş yapmak için varsayılan tuş"
VSTR_NOTIFY_DEL_OBJ,Delete Object?,Nesne Silinsin mi?
VSTR_NOTIFY_Q_DEL,Are you sure you wish to delete,Silmek istediğinizden emin misiniz?
VSTR_NOTIFY_COPY_CLIPBOARD,Copied My Position to Clipboard!,Pozisyonu Panoya Kopyaladım!
VSTR_NOTIFY_COPY_POS,Copied position of object at crosshair to clipboard!,Artı işaretindeki nesnenin pozisyonu panoya kopyalandı!
VSTR_NOTIFY_SERVER_LOCK_OFF,Server is NO LONGER locked!,Sunucu şimdi kilitli DEĞİL!
VSTR_NOTIFY_SERVER_LOCK_ON,server is now locked!,sunucu şimdi kilitlendi!
VSTR_NOTIFY_SERVER_LOCKED,Server is Currently Locked!,Sunucu Şu Anda Kilitli!
VSTR_NOTIFY_LOGGED_IN_ADMIN,Logged in as admin,Yönetici olarak giriş yapıldı
VSTR_NOTIFY_LOGGED_OUT_ADMIN,Logged out,Çıkış yapıldı
